_id,ltable.id,rtable.id,gold
0,1756,1418,0
1,217,2135,0
2,2476,1309,0
3,610,1595,1
4,2183,1630,0
5,2580,616,1
6,420,1866,0
7,1541,747,0
8,1278,1799,0
9,1832,910,0
10,2232,1122,0
11,1061,1284,1
12,1496,658,0
13,1491,1179,0
14,1459,1317,1
15,2061,1072,0
16,2463,1546,1
17,198,1213,0
18,267,1631,0
19,516,735,1
20,1021,225,0
21,1938,73,1
22,1466,990,0
23,1118,1915,0
24,2038,895,1
25,162,1511,0
26,624,920,1
27,2227,2091,1
28,575,650,0
29,39,323,0
30,2224,1051,0
31,1610,1915,0
32,1798,493,0
33,373,2239,0
34,164,1467,1
35,1143,1812,0
36,2081,1419,1
37,924,1026,0
38,1189,1969,1
39,331,1701,1
40,2031,1408,0
41,1496,1831,0
42,135,1441,0
43,1656,910,0
44,1475,1909,0
45,1690,1640,0
46,424,1813,1
47,2562,1409,0
48,1086,342,0
49,2313,1042,0
50,817,256,0
51,385,304,0
52,1645,927,0
53,774,826,1
54,1717,220,0
55,1228,1083,0
56,644,1479,0
57,1160,526,0
58,2601,226,0
59,2416,976,1
60,2037,817,0
61,441,1363,1
62,644,1254,0
63,2185,1946,0
64,107,1334,0
65,2414,2045,0
66,229,1609,0
67,1985,1630,0
68,688,1938,0
69,175,680,0
70,341,822,0
71,1530,26,0
72,1511,220,0
73,690,1906,0
74,1927,1408,0
75,2162,1225,0
76,1115,1425,1
77,1380,745,0
78,507,1063,0
79,1829,1915,0
80,289,1898,0
81,20,465,0
82,387,650,0
83,1118,1159,0
84,1251,403,0
85,356,1894,0
86,21,306,0
87,1866,1854,0
88,557,2055,0
89,2364,1883,0
90,1106,929,0
91,942,2133,0
92,1972,1945,0
93,598,1873,0
94,1274,950,0
95,821,94,0
96,420,152,0
97,2371,2101,0
98,2562,2119,0
99,1777,1599,0
100,692,1648,0
101,507,443,0
102,1034,1958,0
103,1985,1236,0
104,1692,638,0
105,2309,2179,1
106,661,1044,0
107,1829,879,0
108,1049,242,1
109,156,480,0
110,690,1046,0
111,2125,883,0
112,2386,1073,0
113,1232,242,0
114,1721,2049,0
115,387,334,0
116,665,2019,0
117,1469,2154,0
118,40,1558,1
119,2386,1848,0
120,1103,480,0
121,2601,526,0
122,1610,919,0
123,289,2250,0
124,1792,938,1
125,1328,517,1
126,2546,1909,0
127,1439,2247,0
128,575,927,0
129,1910,2016,0
130,201,342,0
131,703,2227,0
132,267,1648,0
133,22,189,0
134,972,1459,0
135,1450,1454,0
136,11,1898,0
137,2302,1317,0
138,413,1129,1
139,2091,562,0
140,334,816,0
141,1624,232,0
142,1560,1471,0
143,644,1317,0
144,1989,1215,0
145,1894,2054,0
146,542,582,0
147,1669,839,1
148,1729,1512,0
149,871,2081,1
150,1507,232,0
151,719,1632,0
152,8,1759,1
153,487,801,1
154,963,1495,0
155,736,557,0
156,1531,1371,0
157,1749,160,1
158,157,1822,1
159,1164,1925,0
160,2095,948,0
161,414,1169,0
162,1105,1854,0
163,1830,771,1
164,291,62,0
165,667,93,0
166,2384,365,0
167,312,1699,1
168,1278,2181,0
169,198,778,0
170,1043,328,0
171,742,1862,0
172,933,1442,0
173,1596,230,1
174,1251,1898,0
175,1599,1052,0
176,397,1035,0
177,1849,2266,0
178,361,884,0
179,2131,4,0
180,33,289,0
181,1142,1995,0
182,1855,445,0
183,1874,2171,0
184,1753,304,0
185,1704,709,0
186,573,1758,0
187,759,1897,1
188,2051,1108,0
189,903,1282,0
190,895,1390,0
191,1468,256,1
192,1369,2125,0
193,596,1954,0
194,158,1313,0
195,1989,2064,0
196,1496,1513,0
197,1878,1252,1
198,1133,1912,0
199,2581,2063,0
200,1644,969,0
201,1572,510,0
202,2053,1617,1
203,2172,2027,0
204,986,626,1
205,1469,1601,0
206,372,1555,0
207,1771,2264,0
208,1419,932,0
209,1317,1784,0
210,1729,1667,0
211,2589,2021,0
212,1540,1427,0
213,1170,99,0
214,1635,1695,1
215,1043,215,0
216,957,1239,0
217,1189,1801,0
218,2514,566,1
219,1894,2204,1
220,1194,8,0
221,770,1681,0
222,1233,2089,0
223,2546,1415,0
224,2224,1123,0
225,705,598,0
226,594,2143,1
227,2042,1857,0
228,1102,1669,1
229,1357,638,0
230,668,1167,0
231,333,688,0
232,490,564,0
233,1309,2263,1
234,2303,9,0
235,2402,360,0
236,2561,811,0
237,1833,1072,0
238,718,992,0
239,1448,1752,0
240,1129,268,0
241,1770,93,0
242,2539,416,1
243,1914,334,0
244,826,93,0
245,2504,1689,0
246,1832,580,0
247,2494,1761,0
248,1108,1881,1
249,775,1189,0
250,2519,27,0
251,877,103,1
252,1531,1374,0
253,1248,460,0
254,2009,809,0
255,2268,810,0
256,1397,1178,0
257,162,1884,0
258,2188,1226,0
259,2186,1571,0
260,839,755,0
261,1509,1972,0
262,2553,889,0
263,372,565,0
264,2477,113,0
265,1835,601,0
266,398,0,0
267,1730,1502,0
268,2349,1440,0
269,519,743,1
270,1685,1119,0
271,1119,1513,0
272,2464,1418,0
273,799,2250,0
274,1361,262,0
275,9,569,0
276,2022,195,0
277,1365,1577,0
278,1670,809,0
279,635,1902,1
280,2296,1831,0
281,1551,1890,0
282,2385,420,0
283,961,982,1
284,78,576,0
285,775,567,0
286,1603,645,1
287,648,709,0
288,1460,75,1
289,891,2198,0
290,2074,576,0
291,2571,2019,0
292,2022,1342,0
293,1866,1902,0
294,1560,1371,0
295,229,281,0
296,183,1511,0
297,2582,1305,1
298,1037,642,1
299,63,205,0
300,575,924,0
301,743,444,0
302,1664,1878,0
303,424,1108,0
304,743,1961,0
305,2221,695,0
306,2315,1340,0
307,2294,839,0
308,2473,1745,0
309,1103,1873,0
310,1634,986,0
311,1239,1832,1
312,2092,548,0
313,1470,863,0
314,1706,1413,0
315,1738,87,0
316,545,1963,0
317,976,255,0
318,1400,857,0
319,2065,61,1
320,452,912,1
321,1725,624,1
322,22,903,0
323,1969,1001,0
324,344,916,1
325,2562,1020,0
326,394,1072,0
327,1466,1758,0
328,927,1511,0
329,289,1675,0
330,2410,1418,0
331,1425,685,0
332,387,649,0
333,2253,677,0
334,1122,2151,1
335,353,22,0
336,1753,2255,0
337,2114,811,0
338,2178,1691,0
339,1916,31,1
340,656,1313,0
341,1882,1592,0
342,1450,103,0
343,1769,866,0
344,1215,215,1
345,2032,1643,0
346,31,1370,0
347,552,667,0
348,1648,1432,0
349,92,1388,0
350,2244,344,0
351,2232,777,0
352,2302,1427,0
353,957,917,0
354,2583,745,0
355,1762,158,1
356,69,420,0
357,1385,367,0
358,287,706,0
359,371,147,0
360,2339,1366,0
361,778,476,0
362,977,480,0
363,1649,74,1
364,2209,1945,0
365,742,1396,0
366,1338,329,0
367,1599,1524,1
368,1307,17,0
369,2390,1177,0
370,1546,1918,0
371,1050,1413,0
372,2188,835,0
373,291,1313,1
374,1491,240,0
375,958,924,0
376,2395,2151,0
377,792,71,1
378,2416,1632,0
379,1662,1893,0
380,816,2128,0
381,943,358,1
382,1274,1836,0
383,1731,1184,1
384,1540,2085,0
385,372,1689,0
386,1955,342,0
387,939,1508,0
388,1835,1392,0
389,727,1401,0
390,1074,1029,0
391,99,754,0
392,1972,1220,0
393,1531,1958,0
394,2392,1159,0
395,288,1116,0
396,1866,1146,0
397,1055,1064,0
398,630,1921,0
399,1209,1971,0
400,9,1048,0
401,1245,2181,1
402,2583,2129,0
403,1642,2155,1
404,739,121,0
405,797,1560,0
406,304,650,0
407,1613,720,0
408,2171,1009,0
409,1430,528,0
410,2144,458,0
411,936,412,1
412,386,669,1
413,2349,1594,1
414,2573,337,0
415,440,1183,0
416,349,1914,0
417,128,1099,1
418,727,1209,0
419,2189,1437,0
420,2008,1244,0
421,2164,1973,1
422,2470,1272,0
423,248,1708,1
424,2393,910,0
425,221,248,1
426,484,223,1
427,2249,1771,0
428,472,546,0
429,2435,755,0
430,1899,904,1
431,542,1179,0
432,798,1281,1
433,1153,798,1
434,1133,1799,0
435,1336,932,0
436,101,197,1
437,444,1715,0
438,1475,407,0
439,387,226,0
440,863,1042,0
441,743,1785,1
442,1161,1880,0
443,1428,1088,1
444,2302,1900,0
445,2392,1317,0
446,899,1591,0
447,2341,1649,0
448,2098,712,0
449,287,1016,0
450,2254,478,0
451,2369,676,0
452,2598,1001,0
453,135,358,0
454,1157,2131,0
455,2477,914,0
456,1015,655,0
457,1489,1805,0
458,353,2062,0
459,317,1647,0
460,2250,901,0
461,147,463,1
462,348,1444,0
463,1843,1424,0
464,2051,276,0
465,977,544,1
466,614,779,0
467,818,1951,0
468,40,1848,0
469,1949,1979,0
470,1279,1161,0
471,1530,1390,0
472,189,1494,1
473,314,1,0
474,27,414,0
475,1111,980,0
476,925,1459,0
