_id,ltable.id,rtable.id,gold
0,2563,6425,0
1,1861,64163,1
2,2187,64008,1
3,611,15632,0
4,631,27684,0
5,2454,7504,0
6,1834,45355,0
7,283,25847,0
8,1105,60693,0
9,1480,45262,1
10,1012,631,0
11,2076,1563,0
12,944,63682,1
13,19,6179,0
14,95,5659,0
15,794,20719,0
16,990,12798,0
17,1082,25283,1
18,2161,932,0
19,2455,31743,0
20,909,38317,1
21,1219,41899,0
22,19,57159,0
23,1656,45351,1
24,1187,4546,1
25,558,2895,0
26,665,3408,0
27,1207,1852,0
28,1953,42525,0
29,171,1241,1
30,612,5130,0
31,1612,21786,0
32,2281,2887,0
33,1399,29840,0
34,1829,13738,0
35,2001,45908,0
36,86,48634,1
37,2212,57630,0
38,1640,11823,0
39,1342,2113,0
40,528,43088,0
41,1920,1560,0
42,2506,52821,0
43,2151,35798,0
44,1637,1596,0
45,563,59808,0
46,254,6397,0
47,2272,6326,0
48,1326,23335,0
49,2342,35760,0
50,874,24044,0
51,1872,44931,0
52,1842,12676,0
53,933,59279,0
54,1884,53983,1
55,1131,49781,0
56,1922,57406,0
57,1742,36645,1
58,280,25877,0
59,580,339,0
60,584,43284,1
61,2483,10507,0
62,207,3882,0
63,2330,7916,0
64,1419,58713,0
65,1365,18229,0
66,42,2235,0
67,659,17331,0
68,1190,53516,1
69,1913,31541,0
70,1701,26265,0
71,797,52892,0
72,6,42009,0
73,2481,53218,1
74,1407,3251,0
75,1712,63795,0
76,1442,54315,0
77,606,34045,0
78,1407,37260,0
79,1611,38141,0
80,563,40722,0
81,1944,26880,0
82,1152,21028,0
83,1970,29564,1
84,2232,16106,0
85,2437,45096,0
86,1840,43474,0
87,1633,33625,0
88,352,50155,0
89,176,15535,0
90,2220,8129,0
91,2030,18418,1
92,713,31328,0
93,2125,6343,0
94,140,52025,0
95,1841,26355,0
96,2483,14876,0
97,950,63151,0
98,1965,26315,0
99,1524,49333,1
100,1272,36669,0
101,563,43933,0
102,1703,13262,0
103,95,7046,0
104,1749,14336,0
105,203,51065,0
106,175,28116,0
107,670,37765,0
108,2310,51126,0
109,2396,17331,0
110,1368,47099,0
111,2497,10451,1
112,716,59482,0
113,532,3765,1
114,713,19205,0
115,595,42343,0
116,2538,1869,0
117,612,8771,0
118,2538,16881,0
119,2455,6596,0
120,1651,18695,1
121,674,31393,1
122,2385,32585,0
123,2142,8018,0
124,19,51361,0
125,270,11014,0
126,1949,47930,0
127,1660,39229,1
128,1969,57383,0
129,703,47913,0
130,1159,51185,0
131,2538,13096,1
132,1498,46299,1
133,336,31743,0
134,570,50379,0
135,1925,59481,0
136,2539,10256,0
137,148,38562,1
138,1518,27863,0
139,1684,5867,0
140,574,44982,0
141,1788,35588,0
142,809,64166,0
143,1395,21960,0
144,151,31322,0
145,2166,28650,0
146,936,1410,0
147,2284,63486,0
148,2295,33577,1
149,604,46596,0
150,1316,54028,0
151,19,23531,0
152,2564,24092,0
153,555,2561,0
154,1219,6317,0
155,527,38561,0
156,1313,42426,0
157,1981,19860,0
158,2498,57461,0
159,329,31216,0
160,590,51553,1
161,1330,54210,1
162,1391,18656,0
163,2400,61690,0
164,2553,60423,0
165,1552,40839,0
166,184,409,0
167,1165,44881,1
168,1515,35132,1
169,1244,61006,0
170,1792,29184,0
171,1341,53417,0
172,2113,25084,0
173,832,2186,0
174,1859,59825,0
175,1418,60458,0
176,2538,19045,0
177,322,18795,0
178,2314,29635,0
179,304,17108,1
180,1342,10867,1
181,2420,47649,0
182,936,19226,0
183,2272,46640,0
184,1662,31411,1
185,1342,43833,0
186,299,48430,0
187,1916,23614,0
188,1213,20848,0
189,1310,50323,1
190,270,39339,0
191,1749,58166,0
192,687,21945,0
193,464,50248,0
194,1922,29979,0
195,17,24705,0
196,12,43060,0
197,994,8056,1
198,1172,2550,0
199,2301,19610,0
200,578,5647,0
201,2615,57559,1
202,2373,9959,1
203,1949,22490,0
204,2386,13435,1
205,1712,49070,0
206,95,45525,0
207,1035,45777,0
208,240,63577,1
209,1782,41489,0
210,1309,52946,0
211,1954,44542,1
212,2272,45866,0
213,506,56664,0
214,204,50886,0
215,1288,42336,0
216,2101,26860,1
217,223,39681,0
218,196,26233,0
219,519,27082,0
220,618,59439,0
221,1611,47359,0
222,1329,48252,1
223,1574,32534,0
224,1418,35556,0
225,353,53053,0
226,934,927,0
227,750,14753,1
228,1311,25091,1
229,2298,11707,0
230,1200,19860,0
231,1841,43088,0
232,859,45111,0
233,2135,63369,0
234,2466,52778,0
235,1244,57488,0
236,963,31476,0
237,212,18640,0
238,1401,20709,0
239,239,32031,0
240,1826,13539,0
241,1431,61425,0
242,2507,12211,0
243,1065,9099,0
244,460,27009,0
245,1214,8939,1
246,1009,63164,0
247,1321,16132,1
248,2560,12731,0
249,399,58040,0
250,298,38141,0
251,2404,31017,0
252,1466,17005,0
253,235,51626,1
254,570,32020,0
255,2565,3558,0
256,277,15576,0
257,1796,40897,0
258,2588,17082,0
259,1109,24829,0
260,1512,37729,0
261,708,29923,0
262,1200,38579,0
263,368,31181,0
264,1802,7510,0
265,996,33952,0
266,2176,53265,1
267,695,60419,1
268,2564,2245,0
269,708,44680,0
270,1818,50298,1
271,483,50551,0
272,2264,17253,0
273,1053,46369,1
274,2146,51627,0
275,1264,25877,0
276,2355,13877,0
277,607,1055,1
278,1698,24132,0
279,19,7065,0
280,1074,7702,0
281,2264,55158,0
282,2604,45177,1
283,807,47913,0
284,611,26178,0
285,1683,16634,0
286,1479,15319,0
287,1014,46435,0
288,1630,29036,1
289,962,47222,0
290,1855,56428,1
291,1330,2906,0
292,42,42156,0
293,2387,21999,0
294,2272,59246,0
295,467,48964,0
296,1363,43980,0
297,2588,55852,0
298,604,56131,0
299,617,39976,1
300,2203,16456,0
301,993,21949,0
302,133,38079,0
303,1491,2161,1
304,486,40040,0
305,352,61473,0
306,713,14737,0
307,1856,36743,0
308,367,31469,0
309,1749,55975,0
310,288,30541,0
311,2338,16634,0
312,2275,62085,0
313,329,43210,0
314,1863,13660,0
315,95,52988,0
316,352,17040,1
317,612,30305,0
318,204,64072,0
319,1840,57982,0
320,604,50416,0
321,1567,22729,1
322,1995,37952,0
323,68,16374,1
324,1946,60354,1
325,1832,34002,1
326,1100,18922,1
327,1986,62583,0
328,1397,36030,0
329,483,29717,0
330,148,34045,0
331,2395,26854,0
332,1055,14,1
333,2531,32267,1
334,1599,55562,0
335,271,16392,0
336,682,47087,0
337,228,55852,0
338,2396,4736,0
339,2183,57581,0
340,2226,14147,0
341,954,13173,0
342,707,30919,0
343,755,53620,0
344,644,6596,0
345,336,18328,0
346,212,9099,0
347,2568,5130,0
348,2333,46289,0
349,840,57136,0
350,2330,1839,0
351,1840,28876,0
352,2320,18272,0
353,1397,48006,0
354,1082,28180,0
355,411,26187,0
356,231,34010,0
357,333,59763,1
358,336,53327,1
359,1365,20909,0
360,1327,26844,1
361,1382,15190,1
362,998,2988,0
363,1428,54940,0
364,424,5194,1
365,2256,13699,0
366,1912,25016,1
367,1439,30264,0
368,1517,14317,0
369,1840,29092,0
370,563,61582,0
371,632,44760,0
372,910,4841,0
373,2457,32041,0
374,707,30992,0
375,931,64123,0
376,1307,927,0
377,1700,11246,0
378,2008,13741,1
379,858,46443,0
380,2496,60512,0
381,2326,35843,1
382,1290,13681,0
383,922,18619,0
384,2306,45029,0
385,112,16346,1
386,734,60452,0
387,1348,9943,0
388,1671,29125,0
389,535,38705,0
390,1836,58622,0
391,274,13907,1
392,2420,23411,0
393,712,55034,0
394,2478,59778,1
395,277,27634,0
396,2568,10458,0
397,238,33342,0
398,2338,42562,0
399,1534,21565,1
400,148,11014,0
401,2397,20199,1
402,2275,56210,0
403,349,17974,1
404,1807,22065,0
405,1747,17986,1
406,779,37481,0
407,1367,16092,0
408,1954,55055,0
409,1367,1739,0
410,2330,41580,0
411,1957,62619,0
412,2345,9037,0
413,1468,30713,0
414,1578,33580,0
415,1314,60603,1
416,1770,9943,0
417,755,23727,0
418,2568,64215,0
419,739,16647,0
420,1431,15847,0
421,1912,22010,1
422,1867,61384,0
423,2104,6852,0
424,1135,27923,0
425,1683,44135,0
426,677,12067,0
427,1148,17214,0
428,1065,8027,0
429,1390,22421,0
430,95,55947,0
431,652,30776,0
432,2275,33342,0
433,1142,1521,1
434,389,35303,1
435,1014,41263,0
436,21,38975,1
437,33,55553,1
438,17,41656,0
439,540,63984,0
440,1560,21118,0
441,1840,19923,0
442,2106,35006,0
443,1840,44406,0
444,453,28892,0
445,408,15535,0
446,256,816,1
447,555,37253,0
448,229,57384,0
449,2006,15684,0
450,758,47682,0
451,2372,7420,0
452,1875,7543,0
453,1545,34956,1
454,2519,22661,0
455,1264,293,1
456,2310,16392,0
457,1391,13830,0
458,1401,41141,0
459,2203,14618,0
460,585,28666,0
461,132,11426,0
462,1263,38773,0
463,2332,21223,0
464,2455,31381,0
465,120,7115,0
466,733,19556,0
467,1857,48103,0
468,612,34209,0
469,141,49426,0
470,2255,24003,0
471,787,22731,0
472,735,54231,1
473,797,48831,0
474,562,63428,0
475,151,52385,0
476,66,2845,0
477,604,16634,0
478,1773,5702,1
479,2338,47847,0
480,1989,12370,0
481,1508,52556,1
482,1152,55320,0
483,1133,52068,0
484,182,4569,0
485,1068,8027,0
486,1148,44664,0
487,603,45459,1
488,1307,9939,0
489,1143,12140,0
490,1082,42659,0
491,606,38562,0
492,994,34154,0
493,408,2961,0
494,1586,20874,0
495,928,61502,1
496,807,55705,0
497,1012,61022,0
498,405,7720,1
499,1683,49051,0
500,1264,24044,0
501,497,18140,1
502,284,52060,0
503,1752,12140,0
504,1998,40018,0
505,973,25761,0
506,2030,19270,0
507,1510,63294,0
508,234,63415,0
509,1985,55870,0
510,1221,22349,0
511,899,27270,0
512,1037,36209,1
513,600,46108,0
514,913,42755,0
515,1401,33580,0
516,631,15038,0
517,2492,1095,0
518,2500,42797,0
519,2386,60799,0
520,525,3408,0
521,534,33904,0
522,646,3207,0
523,437,58227,1
524,2330,32158,0
525,2336,54856,0
526,1176,50378,1
527,1200,49169,0
528,119,23195,1
529,228,57739,0
530,570,34166,0
531,2588,2170,0
532,2390,22990,1
533,1065,56249,0
534,2411,3595,1
535,653,42166,0
536,449,2103,0
537,2333,38886,0
538,994,33773,0
539,724,8032,0
540,1429,56979,0
541,1571,2832,0
542,2418,28114,0
543,726,41345,0
544,2280,49692,0
545,1154,18542,1
546,288,50005,0
547,1302,29529,0
548,1446,44546,1
549,181,8825,0
550,810,57731,0
551,1612,30450,0
552,280,7373,0
553,1364,17962,0
554,1478,5637,0
555,120,44245,0
556,1139,7233,0
557,1105,39128,0
558,1861,53684,0
559,2005,23788,0
560,2509,36969,0
561,990,9767,0
562,321,39715,0
563,408,6003,0
564,708,26567,0
565,858,39292,0
566,1433,59439,0
567,2310,14618,0
568,362,32749,0
569,1205,35556,1
570,1536,25741,0
571,1715,45275,1
572,161,22806,1
573,1752,51185,0
574,1213,60192,0
575,1422,45887,0
576,784,54977,1
577,487,41813,0
578,1826,19055,0
579,826,42503,0
580,2220,58174,1
581,2552,59474,0
582,2159,37976,0
583,2336,42998,0
584,1742,11422,0
585,682,57030,0
586,1407,57488,0
587,141,15868,0
588,1200,41920,0
589,1498,23318,1
590,899,51023,0
591,1712,27639,0
592,681,7756,0
593,1462,62984,1
594,353,2235,0
595,996,45271,0
596,537,47385,0
597,598,2235,0
598,1264,41911,0
599,1929,26315,0
600,1829,11056,0
601,2220,61690,0
602,1968,50780,0
603,2478,10904,0
604,2467,21087,0
605,2208,39994,0
606,95,3961,0
607,2564,39846,0
608,2050,44563,0
609,1288,17171,0
610,2334,14858,1
611,2392,53939,0
612,1239,5159,0
613,733,53199,0
614,2214,42348,0
615,631,39931,0
616,95,45648,0
617,470,3858,0
618,1986,5287,0
619,1827,31216,0
620,1785,55562,0
621,1829,15400,0
622,1460,15195,0
623,1082,56256,0
624,1826,36665,0
625,772,10970,0
626,1554,12003,0
627,1082,19746,0
628,91,23737,1
629,519,7908,0
630,1969,43049,0
631,926,27289,1
632,1727,30755,0
633,1752,26258,0
634,203,48726,0
635,1465,48163,0
636,2498,31381,0
637,1671,7789,0
638,1741,21454,0
639,1625,16943,0
640,1060,44609,0
641,1082,28746,0
642,153,25396,0
643,709,48006,0
644,1894,37091,1
645,1746,52662,0
646,2248,37076,0
647,2400,13814,0
648,1680,7995,0
649,522,54913,0
650,759,7951,1
651,39,28613,0
652,1148,26044,0
653,1821,15386,0
654,2498,7510,0
655,1659,3152,0
656,925,48888,0
657,1688,52317,1
658,1283,51743,0
659,1288,35665,0
660,1548,52353,1
661,1775,62135,0
662,150,30415,0
663,1462,14264,0
664,1962,59074,0
665,98,40394,0
666,1926,33078,0
667,883,60017,0
668,837,41141,0
669,205,44226,0
670,1914,29717,0
671,2070,59316,0
672,2575,33075,1
673,1404,48623,1
674,2515,34408,0
675,670,34485,1
676,2256,34097,0
677,778,7001,0
678,1811,30026,0
679,527,33305,0
680,19,35170,0
681,1491,43088,0
682,1840,9039,0
683,645,46567,0
684,1742,33603,0
685,547,42063,0
686,1401,20619,0
687,342,39339,0
688,1059,10805,0
689,2171,25335,1
690,1982,57601,1
691,2509,48130,0
692,2354,8820,1
693,1628,28756,1
694,0,10073,0
695,783,27639,0
696,1421,18238,0
697,1352,49286,1
698,1673,21653,0
699,1826,59186,0
700,998,56172,1
701,994,13355,0
702,713,55822,0
703,493,23657,1
704,1856,1415,0
705,2350,27481,0
706,1213,31232,0
707,960,55610,0
708,1023,52406,0
709,381,23013,1
710,1391,11384,1
711,1957,40897,0
712,707,60693,0
713,453,39935,0
714,1105,12676,0
715,703,60363,0
716,791,6795,1
717,1921,53740,0
718,2342,17209,0
719,657,15611,0
720,2561,41792,0
721,1226,2655,1
722,2422,11382,0
723,2609,8769,1
724,2330,18281,0
725,1133,20274,0
726,1487,45838,0
727,578,57440,0
728,929,6429,0
729,403,61321,1
730,788,7012,0
731,1281,43793,1
732,2340,2128,1
733,449,44791,1
734,1421,26233,0
735,1929,50407,0
736,584,29840,1
737,452,11678,0
738,1746,39992,0
739,2208,40102,0
740,1821,19262,0
741,2556,52406,0
742,2126,62929,1
743,1960,11368,0
744,2280,25749,0
745,1543,26863,0
746,670,23717,0
747,2398,14724,0
748,1735,15289,1
749,1200,23392,0
750,1241,4716,1
751,1543,55055,0
752,1127,60693,0
753,246,41600,0
754,1213,47147,1
755,688,59439,0
756,660,47368,0
757,2500,2961,0
758,1159,44835,1
759,1185,24504,0
760,2440,14618,0
761,1377,60363,0
762,2560,2887,1
763,399,29784,0
764,1944,20247,0
765,781,1461,1
766,1840,31328,0
767,801,20029,1
768,971,56289,0
769,485,33324,0
770,932,43459,0
771,1088,50321,1
772,1572,57980,0
773,1421,25395,0
774,2500,26417,0
775,1954,49750,1
776,1816,60594,0
777,1133,31545,0
778,1857,37034,1
779,277,58415,0
780,1573,41702,1
781,883,50036,0
782,1105,15876,0
783,197,10856,0
784,442,30128,1
785,828,9847,0
786,554,568,0
787,2400,11699,0
788,2609,16650,0
789,33,18241,0
790,211,44287,0
791,524,31707,0
792,2562,24538,0
793,1211,40192,1
794,681,61398,0
795,1749,41733,0
796,2489,4569,0
797,2562,37090,0
798,1105,16892,0
799,2168,51784,0
800,1537,56693,1
801,1940,28908,0
802,1986,33055,0
803,18,35750,0
804,562,48523,0
805,1005,22744,0
806,6,52821,0
807,1673,6892,0
808,2330,26417,0
809,562,56256,0
810,228,58131,0
811,56,31493,0
812,2506,22242,0
813,156,33962,0
814,2538,2127,0
815,2492,55852,0
816,955,54352,0
817,1676,14589,0
