instance,candName,targName,conf,realConf
7 name_name_jac_qgm_3_qgm_3,800,800,0.009615384615384616,0
7 name_name_cos_dlm_dc0_dlm_dc0,800,800,0.019302285912054573,0
7 name_name_mel,800,800,0.5137720704078674,0
7 name_name_lev_dist,800,800,54,0
7 name_name_lev_sim,800,800,0.19402985074626866,0
7 description_description_jac_qgm_3_qgm_3,800,800,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,800,800,nan,0
7 price_price_exm,800,800,nan,0
7 price_price_anm,800,800,nan,0
7 price_price_lev_dist,800,800,nan,0
7 price_price_lev_sim,800,800,nan,0
7 DecisionTree,800,800,0,0
7 SVM,800,800,0,0
7 RF,800,800,0,0
7 NB,800,800,0,0
7 LogReg,800,800,0,0
7 LinReg,800,800,0,0
7 name_name_jac_qgm_3_qgm_3,800,993,0.08333333333333333,0
7 name_name_cos_dlm_dc0_dlm_dc0,800,993,0.16591052682597074,0
7 name_name_mel,800,993,0.7411962151527405,0
7 name_name_lev_dist,800,993,107,0
7 name_name_lev_sim,800,993,0.2302158273381295,0
7 description_description_jac_qgm_3_qgm_3,800,993,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,800,993,nan,0
7 price_price_exm,800,993,nan,0
7 price_price_anm,800,993,nan,0
7 price_price_lev_dist,800,993,nan,0
7 price_price_lev_sim,800,993,nan,0
7 DecisionTree,800,993,0,0
7 SVM,800,993,0,0
7 RF,800,993,0,0
7 NB,800,993,0,0
7 LogReg,800,993,0,0
7 LinReg,800,993,0,0
7 name_name_jac_qgm_3_qgm_3,800,67,0.45,1.0
7 name_name_cos_dlm_dc0_dlm_dc0,800,67,0.6215216172550639,1.0
7 name_name_mel,800,67,0.8413331508636475,1.0
7 name_name_lev_dist,800,67,35,1.0
7 name_name_lev_sim,800,67,0.4776119402985075,1.0
7 description_description_jac_qgm_3_qgm_3,800,67,0.2616033755274262,1.0
7 description_description_cos_dlm_dc0_dlm_dc0,800,67,0.45064994858792484,1.0
7 price_price_exm,800,67,nan,1.0
7 price_price_anm,800,67,nan,1.0
7 price_price_lev_dist,800,67,nan,1.0
7 price_price_lev_sim,800,67,nan,1.0
7 DecisionTree,800,67,0,1.0
7 SVM,800,67,0,1.0
7 RF,800,67,0,1.0
7 NB,800,67,0,1.0
7 LogReg,800,67,0,1.0
7 LinReg,800,67,0,1.0
7 name_name_jac_qgm_3_qgm_3,800,105,0.358695652173913,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,800,105,0.5281521297231959,0.0
7 name_name_mel,800,105,0.8189556002616882,0.0
7 name_name_lev_dist,800,105,37,0.0
7 name_name_lev_sim,800,105,0.4477611940298507,0.0
7 description_description_jac_qgm_3_qgm_3,800,105,0.013824884792626729,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,800,105,0.060048057676907685,0.0
7 price_price_exm,800,105,nan,0.0
7 price_price_anm,800,105,nan,0.0
7 price_price_lev_dist,800,105,nan,0.0
7 price_price_lev_sim,800,105,nan,0.0
7 DecisionTree,800,105,0,0.0
7 SVM,800,105,0,0.0
7 RF,800,105,0,0.0
7 NB,800,105,0,0.0
7 LogReg,800,105,0,0.0
7 LinReg,800,105,0,0.0
7 name_name_jac_qgm_3_qgm_3,800,1002,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,800,1002,0.0,0
7 name_name_mel,800,1002,0.455733060836792,0
7 name_name_lev_dist,800,1002,59,0
7 name_name_lev_sim,800,1002,0.11940298507462688,0
7 description_description_jac_qgm_3_qgm_3,800,1002,0.0036496350364963502,0
7 description_description_cos_dlm_dc0_dlm_dc0,800,1002,0.008470926844646214,0
7 price_price_exm,800,1002,nan,0
7 price_price_anm,800,1002,nan,0
7 price_price_lev_dist,800,1002,nan,0
7 price_price_lev_sim,800,1002,nan,0
7 DecisionTree,800,1002,0,0
7 SVM,800,1002,0,0
7 RF,800,1002,0,0
7 NB,800,1002,0,0
7 LogReg,800,1002,0,0
7 LinReg,800,1002,0,0
7 name_name_jac_qgm_3_qgm_3,800,779,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,800,779,0.0,0
7 name_name_mel,800,779,0.46582651138305664,0
7 name_name_lev_dist,800,779,64,0
7 name_name_lev_sim,800,779,0.1351351351351351,0
7 description_description_jac_qgm_3_qgm_3,800,779,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,800,779,nan,0
7 price_price_exm,800,779,nan,0
7 price_price_anm,800,779,nan,0
7 price_price_lev_dist,800,779,nan,0
7 price_price_lev_sim,800,779,nan,0
7 DecisionTree,800,779,0,0
7 SVM,800,779,0,0
7 RF,800,779,0,0
7 NB,800,779,0,0
7 LogReg,800,779,0,0
7 LinReg,800,779,0,0
7 name_name_jac_qgm_3_qgm_3,800,877,0.01,0
7 name_name_cos_dlm_dc0_dlm_dc0,800,877,0.0202444082544729,0
7 name_name_mel,800,877,0.45417648553848267,0
7 name_name_lev_dist,800,877,56,0
7 name_name_lev_sim,800,877,0.16417910447761197,0
7 description_description_jac_qgm_3_qgm_3,800,877,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,800,877,nan,0
7 price_price_exm,800,877,nan,0
7 price_price_anm,800,877,nan,0
7 price_price_lev_dist,800,877,nan,0
7 price_price_lev_sim,800,877,nan,0
7 DecisionTree,800,877,0,0
7 SVM,800,877,0,0
7 RF,800,877,0,0
7 NB,800,877,0,0
7 LogReg,800,877,0,0
7 LinReg,800,877,0,0
7 name_name_jac_qgm_3_qgm_3,800,655,0.36666666666666664,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,800,655,0.5366031004021358,0.0
7 name_name_mel,800,655,0.8043283224105835,0.0
7 name_name_lev_dist,800,655,35,0.0
7 name_name_lev_sim,800,655,0.4776119402985075,0.0
7 description_description_jac_qgm_3_qgm_3,800,655,0.03125,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,800,655,0.10120511309409207,0.0
7 price_price_exm,800,655,nan,0.0
7 price_price_anm,800,655,nan,0.0
7 price_price_lev_dist,800,655,nan,0.0
7 price_price_lev_sim,800,655,nan,0.0
7 DecisionTree,800,655,0,0.0
7 SVM,800,655,0,0.0
7 RF,800,655,0,0.0
7 NB,800,655,0,0.0
7 LogReg,800,655,0,0.0
7 LinReg,800,655,0,0.0
7 name_name_jac_qgm_3_qgm_3,800,249,0.2708333333333333,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,800,249,0.42622950819672134,0.0
7 name_name_mel,800,249,0.7950511574745178,0.0
7 name_name_lev_dist,800,249,37,0.0
7 name_name_lev_sim,800,249,0.4477611940298507,0.0
7 description_description_jac_qgm_3_qgm_3,800,249,0.013824884792626729,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,800,249,0.060048057676907685,0.0
7 price_price_exm,800,249,nan,0.0
7 price_price_anm,800,249,nan,0.0
7 price_price_lev_dist,800,249,nan,0.0
7 price_price_lev_sim,800,249,nan,0.0
7 DecisionTree,800,249,0,0.0
7 SVM,800,249,0,0.0
7 RF,800,249,0,0.0
7 NB,800,249,0,0.0
7 LogReg,800,249,0,0.0
7 LinReg,800,249,0,0.0
7 name_name_jac_qgm_3_qgm_3,993,800,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,993,800,0.0,0
7 name_name_mel,993,800,0.5803576707839966,0
7 name_name_lev_dist,993,800,57,0
7 name_name_lev_sim,993,800,0.16176470588235292,0
7 description_description_jac_qgm_3_qgm_3,993,800,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,993,800,nan,0
7 price_price_exm,993,800,nan,0
7 price_price_anm,993,800,nan,0
7 price_price_lev_dist,993,800,nan,0
7 price_price_lev_sim,993,800,nan,0
7 DecisionTree,993,800,0,0
7 SVM,993,800,0,0
7 RF,993,800,0,0
7 NB,993,800,0,0
7 LogReg,993,800,0,0
7 LinReg,993,800,0,0
7 name_name_jac_qgm_3_qgm_3,993,993,0.11475409836065574,0
7 name_name_cos_dlm_dc0_dlm_dc0,993,993,0.21682925396065525,0
7 name_name_mel,993,993,0.7645377516746521,0
7 name_name_lev_dist,993,993,107,0
7 name_name_lev_sim,993,993,0.2302158273381295,0
7 description_description_jac_qgm_3_qgm_3,993,993,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,993,993,nan,0
7 price_price_exm,993,993,nan,0
7 price_price_anm,993,993,nan,0
7 price_price_lev_dist,993,993,nan,0
7 price_price_lev_sim,993,993,nan,0
7 DecisionTree,993,993,0,0
7 SVM,993,993,0,0
7 RF,993,993,0,0
7 NB,993,993,0,0
7 LogReg,993,993,0,0
7 LinReg,993,993,0,0
7 name_name_jac_qgm_3_qgm_3,993,67,0.34408602150537637,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,993,67,0.5157266969762434,0.0
7 name_name_mel,993,67,0.8105913996696472,0.0
7 name_name_lev_dist,993,67,30,0.0
7 name_name_lev_sim,993,67,0.5588235294117647,0.0
7 description_description_jac_qgm_3_qgm_3,993,67,0.14468085106382977,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,993,67,0.2671457194337563,0.0
7 price_price_exm,993,67,nan,0.0
7 price_price_anm,993,67,nan,0.0
7 price_price_lev_dist,993,67,nan,0.0
7 price_price_lev_sim,993,67,nan,0.0
7 DecisionTree,993,67,1.0,0.0
7 SVM,993,67,0.0,0.0
7 RF,993,67,0.0,0.0
7 NB,993,67,0.0,0.0
7 LogReg,993,67,0.0,0.0
7 LinReg,993,67,0.0,0.0
7 name_name_jac_qgm_3_qgm_3,993,105,0.8873239436619719,1.0
7 name_name_cos_dlm_dc0_dlm_dc0,993,105,0.941242529850835,1.0
7 name_name_mel,993,105,0.9081593751907349,1.0
7 name_name_lev_dist,993,105,6,1.0
7 name_name_lev_sim,993,105,0.9117647058823529,1.0
7 description_description_jac_qgm_3_qgm_3,993,105,0.021505376344086023,1.0
7 description_description_cos_dlm_dc0_dlm_dc0,993,105,0.08654846448158308,1.0
7 price_price_exm,993,105,nan,1.0
7 price_price_anm,993,105,nan,1.0
7 price_price_lev_dist,993,105,nan,1.0
7 price_price_lev_sim,993,105,nan,1.0
7 DecisionTree,993,105,0,1.0
7 SVM,993,105,0,1.0
7 RF,993,105,0,1.0
7 NB,993,105,0,1.0
7 LogReg,993,105,0,1.0
7 LinReg,993,105,0,1.0
7 name_name_jac_qgm_3_qgm_3,993,1002,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,993,1002,0.0,0
7 name_name_mel,993,1002,0.5650455951690674,0
7 name_name_lev_dist,993,1002,59,0
7 name_name_lev_sim,993,1002,0.13235294117647056,0
7 description_description_jac_qgm_3_qgm_3,993,1002,0.02510460251046025,0
7 description_description_cos_dlm_dc0_dlm_dc0,993,1002,0.05494192198324041,0
7 price_price_exm,993,1002,nan,0
7 price_price_anm,993,1002,nan,0
7 price_price_lev_dist,993,1002,nan,0
7 price_price_lev_sim,993,1002,nan,0
7 DecisionTree,993,1002,0,0
7 SVM,993,1002,0,0
7 RF,993,1002,0,0
7 NB,993,1002,0,0
7 LogReg,993,1002,0,0
7 LinReg,993,1002,0,0
7 name_name_jac_qgm_3_qgm_3,993,779,0.007042253521126761,0
7 name_name_cos_dlm_dc0_dlm_dc0,993,779,0.013989092759813321,0
7 name_name_mel,993,779,0.4864864945411682,0
7 name_name_lev_dist,993,779,66,0
7 name_name_lev_sim,993,779,0.10810810810810811,0
7 description_description_jac_qgm_3_qgm_3,993,779,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,993,779,nan,0
7 price_price_exm,993,779,nan,0
7 price_price_anm,993,779,nan,0
7 price_price_lev_dist,993,779,nan,0
7 price_price_lev_sim,993,779,nan,0
7 DecisionTree,993,779,0,0
7 SVM,993,779,0,0
7 RF,993,779,0,0
7 NB,993,779,0,0
7 LogReg,993,779,0,0
7 LinReg,993,779,0,0
7 name_name_jac_qgm_3_qgm_3,993,877,0.018518518518518517,0
7 name_name_cos_dlm_dc0_dlm_dc0,993,877,0.03779644730092272,0
7 name_name_mel,993,877,0.5285139083862305,0
7 name_name_lev_dist,993,877,55,0
7 name_name_lev_sim,993,877,0.19117647058823528,0
7 description_description_jac_qgm_3_qgm_3,993,877,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,993,877,nan,0
7 price_price_exm,993,877,nan,0
7 price_price_anm,993,877,nan,0
7 price_price_lev_dist,993,877,nan,0
7 price_price_lev_sim,993,877,nan,0
7 DecisionTree,993,877,0,0
7 SVM,993,877,0,0
7 RF,993,877,0,0
7 NB,993,877,0,0
7 LogReg,993,877,0,0
7 LinReg,993,877,0,0
7 name_name_jac_qgm_3_qgm_3,993,655,0.5,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,993,655,0.6678944147908079,0.0
7 name_name_mel,993,655,0.8759452700614929,0.0
7 name_name_lev_dist,993,655,19,0.0
7 name_name_lev_sim,993,655,0.7205882352941176,0.0
7 description_description_jac_qgm_3_qgm_3,993,655,0.046875,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,993,655,0.14065934485336348,0.0
7 price_price_exm,993,655,nan,0.0
7 price_price_anm,993,655,nan,0.0
7 price_price_lev_dist,993,655,nan,0.0
7 price_price_lev_sim,993,655,nan,0.0
7 DecisionTree,993,655,0,0.0
7 SVM,993,655,0,0.0
7 RF,993,655,0,0.0
7 NB,993,655,0,0.0
7 LogReg,993,655,0,0.0
7 LinReg,993,655,0,0.0
7 name_name_jac_qgm_3_qgm_3,993,249,0.48863636363636365,0.0
7 name_name_cos_dlm_dc0_dlm_dc0,993,249,0.6580433703665529,0.0
7 name_name_mel,993,249,0.8522892594337463,0.0
7 name_name_lev_dist,993,249,18,0.0
7 name_name_lev_sim,993,249,0.7352941176470589,0.0
7 description_description_jac_qgm_3_qgm_3,993,249,0.021505376344086023,0.0
7 description_description_cos_dlm_dc0_dlm_dc0,993,249,0.08654846448158308,0.0
7 price_price_exm,993,249,nan,0.0
7 price_price_anm,993,249,nan,0.0
7 price_price_lev_dist,993,249,nan,0.0
7 price_price_lev_sim,993,249,nan,0.0
7 DecisionTree,993,249,0,0.0
7 SVM,993,249,0,0.0
7 RF,993,249,0,0.0
7 NB,993,249,0,0.0
7 LogReg,993,249,0,0.0
7 LinReg,993,249,0,0.0
7 name_name_jac_qgm_3_qgm_3,67,800,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,800,0.0,0
7 name_name_mel,67,800,0.4585275948047638,0
7 name_name_lev_dist,67,800,38,0
7 name_name_lev_sim,67,800,0.13636363636363635,0
7 description_description_jac_qgm_3_qgm_3,67,800,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,800,nan,0
7 price_price_exm,67,800,nan,0
7 price_price_anm,67,800,nan,0
7 price_price_lev_dist,67,800,nan,0
7 price_price_lev_sim,67,800,nan,0
7 DecisionTree,67,800,0,0
7 SVM,67,800,0,0
7 RF,67,800,0,0
7 NB,67,800,0,0
7 LogReg,67,800,0,0
7 LinReg,67,800,0,0
7 name_name_jac_qgm_3_qgm_3,67,993,0.006289308176100629,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,993,0.016941853689292432,0
7 name_name_mel,67,993,0.5325025916099548,0
7 name_name_lev_dist,67,993,124,0
7 name_name_lev_sim,67,993,0.1079136690647482,0
7 description_description_jac_qgm_3_qgm_3,67,993,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,993,nan,0
7 price_price_exm,67,993,0,0
7 price_price_anm,67,993,0.06002400960384158,0
7 price_price_lev_dist,67,993,5,0
7 price_price_lev_sim,67,993,0.16666666666666663,0
7 DecisionTree,67,993,0,0
7 SVM,67,993,0,0
7 RF,67,993,0,0
7 NB,67,993,0,0
7 LogReg,67,993,0,0
7 LinReg,67,993,0,0
7 name_name_jac_qgm_3_qgm_3,67,67,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,67,0.0,0
7 name_name_mel,67,67,0.4418037533760071,0
7 name_name_lev_dist,67,67,44,0
7 name_name_lev_sim,67,67,0.16981132075471694,0
7 description_description_jac_qgm_3_qgm_3,67,67,0.034722222222222224,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,67,0.06882327126544589,0
7 price_price_exm,67,67,0,0
7 price_price_anm,67,67,0.03495145631067964,0
7 price_price_lev_dist,67,67,2,0
7 price_price_lev_sim,67,67,0.6,0
7 DecisionTree,67,67,0,0
7 SVM,67,67,0,0
7 RF,67,67,0,0
7 NB,67,67,0,0
7 LogReg,67,67,0,0
7 LinReg,67,67,0,0
7 name_name_jac_qgm_3_qgm_3,67,105,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,105,0.0,0
7 name_name_mel,67,105,0.45557624101638794,0
7 name_name_lev_dist,67,105,51,0
7 name_name_lev_sim,67,105,0.17741935483870963,0
7 description_description_jac_qgm_3_qgm_3,67,105,0.0,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,105,0.0,0
7 price_price_exm,67,105,0,0
7 price_price_anm,67,105,0.032786885245901676,0
7 price_price_lev_dist,67,105,3,0
7 price_price_lev_sim,67,105,0.4,0
7 DecisionTree,67,105,0,0
7 SVM,67,105,0,0
7 RF,67,105,0,0
7 NB,67,105,0,0
7 LogReg,67,105,0,0
7 LinReg,67,105,0,0
7 name_name_jac_qgm_3_qgm_3,67,1002,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,1002,0.0,0
7 name_name_mel,67,1002,0.5817598104476929,0
7 name_name_lev_dist,67,1002,48,0
7 name_name_lev_sim,67,1002,0.18644067796610164,0
7 description_description_jac_qgm_3_qgm_3,67,1002,0.008064516129032258,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,1002,0.0160416339428808,0
7 price_price_exm,67,1002,0,0
7 price_price_anm,67,1002,0.04557077394364417,0
7 price_price_lev_dist,67,1002,5,0
7 price_price_lev_sim,67,1002,0.16666666666666663,0
7 DecisionTree,67,1002,0,0
7 SVM,67,1002,0,0
7 RF,67,1002,0,0
7 NB,67,1002,0,0
7 LogReg,67,1002,0,0
7 LinReg,67,1002,0,0
7 name_name_jac_qgm_3_qgm_3,67,779,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,779,0.0,0
7 name_name_mel,67,779,0.5249130725860596,0
7 name_name_lev_dist,67,779,61,0
7 name_name_lev_sim,67,779,0.17567567567567566,0
7 description_description_jac_qgm_3_qgm_3,67,779,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,779,nan,0
7 price_price_exm,67,779,nan,0
7 price_price_anm,67,779,nan,0
7 price_price_lev_dist,67,779,nan,0
7 price_price_lev_sim,67,779,nan,0
7 DecisionTree,67,779,0,0
7 SVM,67,779,0,0
7 RF,67,779,0,0
7 NB,67,779,0,0
7 LogReg,67,779,0,0
7 LinReg,67,779,0,0
7 name_name_jac_qgm_3_qgm_3,67,877,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,877,0.0,0
7 name_name_mel,67,877,0.4663742780685425,0
7 name_name_lev_dist,67,877,30,0
7 name_name_lev_sim,67,877,0.21052631578947367,0
7 description_description_jac_qgm_3_qgm_3,67,877,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,877,nan,0
7 price_price_exm,67,877,nan,0
7 price_price_anm,67,877,nan,0
7 price_price_lev_dist,67,877,nan,0
7 price_price_lev_sim,67,877,nan,0
7 DecisionTree,67,877,0,0
7 SVM,67,877,0,0
7 RF,67,877,0,0
7 NB,67,877,0,0
7 LogReg,67,877,0,0
7 LinReg,67,877,0,0
7 name_name_jac_qgm_3_qgm_3,67,655,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,655,0.0,0
7 name_name_mel,67,655,0.48650792241096497,0
7 name_name_lev_dist,67,655,49,0
7 name_name_lev_sim,67,655,0.18333333333333335,0
7 description_description_jac_qgm_3_qgm_3,67,655,0.0,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,655,0.0,0
7 price_price_exm,67,655,0,0
7 price_price_anm,67,655,0.07725985063095542,0
7 price_price_lev_dist,67,655,5,0
7 price_price_lev_sim,67,655,0.16666666666666663,0
7 DecisionTree,67,655,0,0
7 SVM,67,655,0,0
7 RF,67,655,0,0
7 NB,67,655,0,0
7 LogReg,67,655,0,0
7 LinReg,67,655,0,0
7 name_name_jac_qgm_3_qgm_3,67,249,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,67,249,0.0,0
7 name_name_mel,67,249,0.5153013467788696,0
7 name_name_lev_dist,67,249,48,0
7 name_name_lev_sim,67,249,0.18644067796610164,0
7 description_description_jac_qgm_3_qgm_3,67,249,0.0,0
7 description_description_cos_dlm_dc0_dlm_dc0,67,249,0.0,0
7 price_price_exm,67,249,0,0
7 price_price_anm,67,249,0.11253516723976242,0
7 price_price_lev_dist,67,249,4,0
7 price_price_lev_sim,67,249,0.33333333333333337,0
7 DecisionTree,67,249,0,0
7 SVM,67,249,0,0
7 RF,67,249,0,0
7 NB,67,249,0,0
7 LogReg,67,249,0,0
7 LinReg,67,249,0,0
7 name_name_jac_qgm_3_qgm_3,105,800,0.009708737864077669,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,800,0.019462473604038074,0
7 name_name_mel,105,800,0.5516121983528137,0
7 name_name_lev_dist,105,800,49,0
7 name_name_lev_sim,105,800,0.15517241379310343,0
7 description_description_jac_qgm_3_qgm_3,105,800,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,800,nan,0
7 price_price_exm,105,800,nan,0
7 price_price_anm,105,800,nan,0
7 price_price_lev_dist,105,800,nan,0
7 price_price_lev_sim,105,800,nan,0
7 DecisionTree,105,800,0,0
7 SVM,105,800,0,0
7 RF,105,800,0,0
7 NB,105,800,0,0
7 LogReg,105,800,0,0
7 LinReg,105,800,0,0
7 name_name_jac_qgm_3_qgm_3,105,993,0.031914893617021274,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,993,0.06691496051182058,0
7 name_name_mel,105,993,0.5477830767631531,0
7 name_name_lev_dist,105,993,112,0
7 name_name_lev_sim,105,993,0.19424460431654678,0
7 description_description_jac_qgm_3_qgm_3,105,993,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,993,nan,0
7 price_price_exm,105,993,0,0
7 price_price_anm,105,993,0.5002000800320128,0
7 price_price_lev_dist,105,993,5,0
7 price_price_lev_sim,105,993,0.16666666666666663,0
7 DecisionTree,105,993,0,0
7 SVM,105,993,0,0
7 RF,105,993,0,0
7 NB,105,993,0,0
7 LogReg,105,993,0,0
7 LinReg,105,993,0,0
7 name_name_jac_qgm_3_qgm_3,105,67,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,67,0.0,0
7 name_name_mel,105,67,0.5610930323600769,0
7 name_name_lev_dist,105,67,51,0
7 name_name_lev_sim,105,67,0.12068965517241381,0
7 description_description_jac_qgm_3_qgm_3,105,67,0.0220125786163522,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,67,0.04796996649710181,0
7 price_price_exm,105,67,0,0
7 price_price_anm,105,67,0.2912621359223301,0
7 price_price_lev_dist,105,67,2,0
7 price_price_lev_sim,105,67,0.6,0
7 DecisionTree,105,67,0,0
7 SVM,105,67,0,0
7 RF,105,67,0,0
7 NB,105,67,0,0
7 LogReg,105,67,0,0
7 LinReg,105,67,0,0
7 name_name_jac_qgm_3_qgm_3,105,105,0.0,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,105,0.0,0
7 name_name_mel,105,105,0.5434510707855225,0
7 name_name_lev_dist,105,105,53,0
7 name_name_lev_sim,105,105,0.14516129032258063,0
7 description_description_jac_qgm_3_qgm_3,105,105,0.0,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,105,0.0,0
7 price_price_exm,105,105,0,0
7 price_price_anm,105,105,0.27322404371584696,0
7 price_price_lev_dist,105,105,3,0
7 price_price_lev_sim,105,105,0.4,0
7 DecisionTree,105,105,0,0
7 SVM,105,105,0,0
7 RF,105,105,0,0
7 NB,105,105,0,0
7 LogReg,105,105,0,0
7 LinReg,105,105,0,0
7 name_name_jac_qgm_3_qgm_3,105,1002,0.02564102564102564,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,1002,0.049999999999999996,0
7 name_name_mel,105,1002,0.5954715609550476,0
7 name_name_lev_dist,105,1002,52,0
7 name_name_lev_sim,105,1002,0.11864406779661019,0
7 description_description_jac_qgm_3_qgm_3,105,1002,0.013468013468013467,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,1002,0.03194586567885068,0
7 price_price_exm,105,1002,0,0
7 price_price_anm,105,1002,0.3797564495303678,0
7 price_price_lev_dist,105,1002,5,0
7 price_price_lev_sim,105,1002,0.16666666666666663,0
7 DecisionTree,105,1002,0,0
7 SVM,105,1002,0,0
7 RF,105,1002,0,0
7 NB,105,1002,0,0
7 LogReg,105,1002,0,0
7 LinReg,105,1002,0,0
7 name_name_jac_qgm_3_qgm_3,105,779,0.007575757575757576,0
7 name_name_cos_dlm_dc0_dlm_dc0,105,779,0.015109947130387486,0
7 name_name_mel,105,779,0.5825444459915161,0
7 name_name_lev_dist,105,779,60,0
7 name_name_lev_sim,105,779,0.18918918918918914,0
7 description_description_jac_qgm_3_qgm_3,105,779,nan,0
7 description_description_cos_dlm_dc0_dlm_dc0,105,779,nan,0
7 price_price_exm,105,779,nan,0
7 price_price_anm,105,779,nan,0
7 price_price_lev_dist,105,779,nan,0
7 price_price_lev_sim,105,779,nan,0
7 DecisionTree,105,779,0,0
7 SVM,105,779,0,0
