_id,ltable.id,rtable.id,gold
0,730,775,0
1,670,820,0
2,497,239,0
3,644,299,0
4,464,32,0
5,855,1061,0
6,671,817,0
7,255,871,1
8,328,302,0
9,345,874,0
10,466,579,0
11,190,34,0
12,1021,17,0
13,719,798,0
14,519,399,0
15,675,1021,0
16,14,517,0
17,647,1074,0
18,345,653,0
19,993,419,0
20,138,205,0
21,836,1034,0
22,444,880,0
23,717,801,0
24,558,485,0
25,844,819,0
26,109,366,0
27,256,460,0
28,608,695,0
29,674,889,0
30,919,1004,0
31,577,961,0
32,963,97,0
33,1038,886,0
34,226,585,0
35,1011,648,0
36,482,1071,0
37,152,139,0
38,252,764,0
39,829,719,0
40,184,167,0
41,463,742,0
42,927,934,0
43,530,879,0
44,637,429,0
45,997,544,0
46,489,574,0
47,533,632,0
48,579,971,0
49,784,409,0
50,713,760,0
51,469,554,0
52,771,758,0
53,997,630,0
54,803,693,0
55,568,680,0
56,865,937,1
57,577,607,0
58,555,447,0
59,539,582,0
60,495,631,0
61,295,24,0
62,172,249,0
63,526,237,0
64,764,1075,0
65,540,954,0
66,965,74,0
67,479,926,0
68,614,724,0
69,657,35,0
70,990,589,0
71,190,35,0
72,326,1016,0
73,1076,244,0
74,11,717,0
75,789,516,0
76,935,859,0
77,43,347,0
78,235,772,0
79,741,1077,0
80,597,289,0
81,985,736,0
82,15,299,0
83,270,345,0
84,813,927,0
85,242,748,0
86,432,101,0
87,850,676,0
88,677,834,0
89,993,655,0
90,554,122,0
91,536,401,0
92,108,123,1
93,881,839,0
94,576,507,0
95,479,936,0
96,573,206,0
97,472,568,0
98,733,742,0
99,108,106,0
100,1062,986,1
101,1076,526,0
102,487,844,0
103,1010,978,0
104,1039,88,0
105,904,910,0
106,280,633,0
107,994,1012,0
108,65,72,0
109,181,880,0
110,190,57,0
111,670,822,0
112,660,435,0
113,986,649,0
114,84,748,0
115,965,159,0
116,62,72,0
117,1069,449,0
118,443,441,0
119,115,569,0
120,615,637,0
121,741,892,0
122,910,401,0
123,413,951,0
124,918,1010,0
125,788,584,0
126,929,977,1
127,883,926,0
128,370,991,0
129,351,107,0
130,930,1031,0
131,793,442,0
132,55,102,0
133,843,817,0
134,654,611,0
135,163,336,0
136,1040,186,1
137,1076,682,0
138,115,74,0
139,1071,103,1
140,473,886,0
141,675,892,0
142,289,340,0
143,135,145,1
144,12,62,0
145,541,239,0
146,947,1058,0
147,296,453,0
148,812,673,0
149,190,300,0
150,803,680,0
151,250,637,0
152,495,948,0
153,450,581,0
154,968,359,1
155,535,35,0
156,439,23,0
157,511,594,0
158,216,374,1
159,180,584,0
160,167,47,0
161,486,511,0
162,656,1061,0
163,946,1000,0
164,985,911,0
165,687,844,0
166,902,536,0
167,348,271,0
168,250,626,0
169,406,486,0
170,344,484,0
171,670,823,0
172,104,496,0
173,481,653,0
174,419,395,0
175,844,527,0
176,426,90,0
177,249,321,0
178,708,568,0
179,553,598,1
180,214,3,1
181,534,634,0
182,378,922,0
183,399,159,0
184,868,537,0
185,540,924,0
186,741,983,0
187,522,938,0
188,895,625,0
189,94,232,0
190,985,605,0
191,391,142,0
192,940,152,0
193,807,543,0
194,963,540,0
195,95,88,0
196,488,223,0
197,591,744,0
198,771,716,0
199,852,821,0
200,190,515,0
201,894,601,0
202,386,456,0
203,190,517,0
204,42,800,0
205,850,527,0
206,421,303,0
207,994,910,0
208,167,308,0
209,803,719,0
210,754,596,0
211,789,638,0
212,451,978,0
213,281,183,0
214,1047,46,0
215,961,100,0
216,974,1080,1
217,890,409,0
218,277,520,1
219,911,1016,0
220,536,972,0
221,687,791,0
222,236,772,0
223,960,86,0
224,807,1058,0
225,918,1007,0
226,790,629,0
227,256,147,0
228,237,3,0
229,20,124,0
230,548,665,0
231,641,37,0
232,530,664,0
233,1025,1,0
234,352,59,0
235,736,834,0
236,453,250,0
237,749,634,0
238,564,723,0
239,295,17,0
240,780,11,0
241,615,302,0
242,295,485,0
243,108,203,0
244,351,205,1
245,481,630,0
246,482,542,0
247,675,983,0
248,445,446,0
249,108,107,0
250,577,544,0
251,230,879,0
252,900,629,0
253,99,987,0
254,306,256,0
255,348,551,0
256,863,1009,0
257,134,1,0
258,203,169,0
259,426,59,0
260,682,983,0
261,977,678,0
262,419,167,0
263,864,388,0
264,439,579,1
265,595,960,0
266,904,932,1
267,447,412,1
268,450,554,0
269,708,650,0
270,566,1083,0
271,1076,678,0
272,298,318,0
273,40,902,0
274,721,894,1
275,496,610,0
276,849,667,0
277,476,654,0
278,443,508,0
279,738,835,1
280,663,88,0
281,409,244,0
282,851,677,0
283,665,639,0
284,900,791,0
285,882,727,0
286,813,849,0
287,1036,1055,1
288,825,792,0
289,13,58,0
290,685,732,1
291,948,1058,0
292,618,686,0
293,550,298,0
294,370,541,0
295,203,303,0
296,899,622,0
297,753,842,0
298,551,871,0
299,644,516,0
300,547,924,0
301,533,138,0
302,483,401,0
303,308,346,1
304,713,699,0
305,125,129,1
306,519,938,0
307,15,883,0
308,829,920,1
